Original_SMILES,Product_SMILES,Similarity,Reaction_SMARTS,DOI
*c1ccc[nH]c1=O,*c1ccc(OC)[nH]c1=O,0.3448,[*:1][c:2]1[c:3][c:4][c:5][n:8][c:9]1>>[*:1][c:2]1[c:3][c:4][c:5]([O][C])[n:8][c:9]1,https://doi.org/10.1021/acs.jmedchem.1c01215
*c1ccc[nH]c1=O,*C1CCCNC1=O,0.1562,[c:1]1[c:2][c:3][n:4][c:5][c:6]1>>[C:1]1[C:2][C:3][N:4][C:5][C:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccc[nH]c1=O,*C1CCCC1=O,0.1333,[c:1]1[c:2][c:3]n[c:4][c:5]1>>[C:1]1[C:2][C:3][C:4][C:5]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccc[nH]c1=O,*c1ccc2cc[nH]c(=O)c2c1,0.4,[*:1][c:2]1[c:11][c:3][c:7][n:8][c:9]1>>[*:1][c:2]1[c:3][c][c]2[c][c:7][n:8][c:9][c]2[c:11]1,https://doi.org/10.1021/acs.jmedchem.2c01349
*c1ccc[nH]c1=O,*c1ccc(-c2ccc[nH]c2=O)cc1,0.5556,[*:1][c:6]1[c:2][c:8][c:9][n:10][c:11]1>>[*:1][c:2]1[c][c][c](-[c:6]2[c][c:8][c:9][n:10][c:11]2)[c][c]1,https://doi.org/10.1021/acs.jmedchem.2c01349
*c1ccc[nH]c1=O,*C1OCCNC1=O,0.1515,c1[c:2][c:1][n:6][c:5][c:4]1>>[C:1]1[C:2][O][C:4][C:5][N:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccc[nH]c1=O,*c1c(C2CCCC2)cc(C)[nH]c1=O,0.2162,[O:12]=[c:11]1[c:10][c:1][c:3][c:2][nH:13]1>>[C:1][c:2]1[c:3][c]([C]2[C][C][C][C]2)[c:10][c:11](=[O:12])[nH:13]1,https://doi.org/10.1021/acs.jmedchem.2c00047
*c1ccc[nH]c1=O,*c1c(CCC)c(C)c[nH]c1=O,0.2571,[O:7]=[c:6]1[c:5][c:1][c:10][c:9][nH:8]1>>[C:1][C][C][c]1[c:5][c:6](=[O:7])[nH:8][c:9][c:10]1[C],https://doi.org/10.1021/acs.jmedchem.2c00047
*c1ccc[nH]c1=O,*C1CCC(F)(F)CC1=O,0.1176,[*:1][c:2]1[c:9][c:8][c:5]n[c:3]1>>[*:1][C:2]1[C:3][C][C:5]([F])([F])[C:8][C:9]1,https://dx.doi.org/10.1021/acs.jmedchem.1c00034
*c1ccc[nH]c1=O,*C(=O)c1ccccc1,0.2222,[*:1][c:3]1[c:4][c:5][c:6]n[c:2]1>>[*:1][C:2][c:3]1[c:4][c:5][c:6][c][c]1,https://dx.doi.org/10.1021/acs.jmedchem.0c00161
*c1ccc[nH]c1=O,*c1c[nH]n(C(C)C)c1=O,0.2188,[*:1][c:2]1[c:3][c:7][c:6][n:4][c:9]1>>[*:1][c:2]1[c:3][n:4][n]([C:6]([C:7])[C])[c:9]1,https://doi.org/10.1021/acs.jmedchem.1c01215
*c1ccc[nH]c1=O,*c1c[nH]n(C(C)(C)C)c1=O,0.2188,[*:1][c:2]1[c:3][c:7][c:6][n:4][c:10]1>>[*:1][c:2]1[c:3][n:4][n]([C:6]([C:7])([C])[C])[c:10]1,https://doi.org/10.1021/acs.jmedchem.1c01215
