Original_SMILES,Product_SMILES,Similarity,Reaction_SMARTS,DOI
*c1ccnc(NC)n1,*c1ccc(C)c(NC)c1,0.2647,[c:1]1[c:2][n:3][c:4][n:5][c:6]1>>[c:1]1[c:2][c:3](-[C])[c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cccc(NC)c1C,0.2647,[c:1]1[c:2][n:3][c:4][n:5][c:6]1>>[c:1]1[c:2][c:3](-[C])[c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1ccc(F)c(NC)c1F,0.2571,[c:1]1[c:2][n:3][c:4][n:5][c:6]1>>[c:1]1[c:2][c:3](-[F])[c:4][c:5](-[F])[c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1ccc(OC)c(NC)c1,0.2432,[c:1]1[c:2][n:3][c:4][n:5][c:6]1>>[c:1]1[c:2][c:3](-[O]-[C])[c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cccc(NC)c1OC,0.2432,[c:1]1[c:2][n:3][c:4][n:5][c:6]1>>[c:1]1[c:2][c:3](-[O]-[C])[c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1ccc(O)c(NC)c1,0.2941,[c:1]1[c:2][n:3][c:4][n:5][c:6]1>>[c:1]1[c:2][c:3](-[O])[c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cccc(NC)c1O,0.2571,[c:1]1[c:2][n:3][c:4][n:5][c:6]1>>[c:1]1[c:2][c:3](-[O])[c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1ccc(C#N)c(NC)c1,0.2368,[c:1]1[c:2][n:3][c:4][n:5][c:6]1>>[c:1]1[c:2][c:3](-[C]#[N])[c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cccc(NC)c1C#N,0.2368,[c:1]1[c:2][n:3][c:4][n:5][c:6]1>>[c:1]1[c:2][c:3](-[C]#[N])[c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1ccc(NS(C)(=O)=O)c(NC)c1,0.225,[c:1]1[n:2][c:3][c:4][c:5][n:6]1>>[c:1]1[c:2](-[N]-[S](=[O])(=[O])-[C])[c:3][c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cccc(NC)c1NS(C)(=O)=O,0.2195,[c:1]1[n:2][c:3][c:4][c:5][n:6]1>>[c:1]1[c:2](-[N]-[S](=[O])(=[O])-[C])[c:3][c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cncc(NC)c1,0.2647,[c:1]1[n:2][c:3][c:4][c:5][n:6]1>>[c:1]1[c:2][n:3][c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cccc(C#N)c1,0.1389,[c:1]1[c:2][n:3][c:4](-[N])[n:5][c:6]1>>[c:1]1[c:2][c:3][c:4](-[C]#[N])[c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00026
*c1ccnc(NC)n1,*c1cccc([N+](=O)[O-])c1,0.1282,[c:1]1[c:2][n:3][c:4](-[N])[n:5][c:6]1>>[c:1]1[c:2][c:3][c:4](-[N+](=[O])-[O-])[c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00026
*c1ccnc(NC)n1,*c1cccc(C(=O)OCC)c1,0.1395,[c:1]1[c:2][n:3][c:4](-[N:7])[n:5][c:6]1>>[c:1]1[c:2][c:3][c:4](-[C](=[O])-[O]-[C:7])[c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00026
